Date,Open,High,Low,Close,Adj Close,Volume
2018-01-10,7731.000000,7756.100098,7716.200195,7748.500000,7748.500000,861758600
2018-01-11,7748.500000,7769.000000,7734.600098,7762.899902,7762.899902,982791800
2018-01-12,7762.899902,7792.600098,7752.600098,7778.600098,7778.600098,1133867000
2018-01-15,7778.600098,7783.600098,7763.399902,7769.100098,7769.100098,551904700
2018-01-16,7769.100098,7791.799805,7740.600098,7755.899902,7755.899902,824367900
2018-01-17,7755.899902,7755.899902,7711.100098,7725.399902,7725.399902,822508200
2018-01-18,7725.399902,7739.500000,7683.700195,7701.000000,7701.000000,765527900
2018-01-19,7701.000000,7731.799805,7694.700195,7730.799805,7730.799805,795594100
2018-01-22,7730.799805,7739.399902,7703.700195,7715.399902,7715.399902,730171300
2018-01-23,7715.399902,7745.200195,7710.000000,7731.799805,7731.799805,742420200
2018-01-24,7731.799805,7732.000000,7643.399902,7643.399902,7643.399902,746643300
2018-01-25,7643.399902,7662.399902,7608.500000,7615.799805,7615.799805,713251600
2018-01-26,7615.799805,7667.399902,7615.799805,7665.500000,7665.500000,713831300
2018-01-29,7665.500000,7689.200195,7663.899902,7671.500000,7671.500000,612924000
2018-01-30,7671.500000,7671.700195,7587.100098,7588.000000,7588.000000,798999000
2018-01-31,7588.000000,7599.000000,7521.799805,7533.600098,7533.600098,880751700
2018-02-01,7533.600098,7554.700195,7476.500000,7490.399902,7490.399902,872509100
2018-02-02,7490.399902,7494.799805,7432.299805,7443.399902,7443.399902,871574000
2018-02-05,7443.399902,7443.399902,7334.799805,7335.000000,7335.000000,888994600
2018-02-06,7335.000000,7335.000000,7079.399902,7141.399902,7141.399902,1354591000
2018-02-07,7141.399902,7311.500000,7141.399902,7279.399902,7279.399902,1027400300
2018-02-08,7279.399902,7279.399902,7161.299805,7170.700195,7170.700195,973611300
2018-02-09,7170.700195,7170.700195,7073.000000,7092.399902,7092.399902,927291900
2018-02-12,7092.399902,7199.899902,7092.399902,7177.100098,7177.100098,718740600
2018-02-13,7177.100098,7203.000000,7165.799805,7168.000000,7168.000000,718988800
2018-02-14,7168.000000,7243.200195,7145.700195,7214.000000,7214.000000,940537000
2018-02-15,7214.000000,7268.000000,7206.700195,7234.799805,7234.799805,747830200
2018-02-16,7234.799805,7308.000000,7234.799805,7294.700195,7294.700195,651756200
2018-02-19,7294.700195,7306.200195,7240.000000,7247.700195,7247.700195,511199000
2018-02-20,7247.700195,7264.799805,7202.100098,7246.799805,7246.799805,679057900
2018-02-21,7246.799805,7291.799805,7220.600098,7281.600098,7281.600098,902872700
2018-02-22,7281.600098,7281.600098,7187.799805,7252.399902,7252.399902,926221400
2018-02-23,7252.399902,7262.100098,7220.799805,7244.399902,7244.399902,674864300
2018-02-26,7244.399902,7313.000000,7244.299805,7289.600098,7289.600098,585774600
2018-02-27,7289.600098,7326.000000,7272.899902,7282.500000,7282.500000,718147000
2018-02-28,7282.500000,7293.399902,7231.899902,7231.899902,7231.899902,919954800
2018-03-01,7231.899902,7231.899902,7153.399902,7175.600098,7175.600098,859756500
2018-03-02,7175.600098,7175.600098,7063.399902,7069.899902,7069.899902,910442200
2018-03-05,7069.899902,7119.200195,7062.100098,7116.000000,7116.000000,941867700
2018-03-06,7116.000000,7197.799805,7115.600098,7146.799805,7146.799805,786141900
2018-03-07,7146.799805,7180.700195,7109.600098,7157.799805,7157.799805,862383600
2018-03-08,7157.799805,7212.100098,7145.700195,7203.200195,7203.200195,712676800
2018-03-09,7203.200195,7225.299805,7189.700195,7224.500000,7224.500000,651119000
2018-03-12,7224.500000,7254.899902,7198.200195,7214.799805,7214.799805,613077900
2018-03-13,7214.799805,7224.100098,7125.600098,7138.799805,7138.799805,766738500
2018-03-14,7138.799805,7176.500000,7122.799805,7132.700195,7132.700195,752181500
2018-03-15,7132.700195,7162.600098,7127.100098,7139.799805,7139.799805,808062300
2018-03-16,7139.799805,7187.299805,7131.299805,7164.100098,7164.100098,1380663300
2018-03-19,7164.100098,7164.200195,7034.899902,7042.899902,7042.899902,728214400
2018-03-20,7042.899902,7081.500000,7042.600098,7061.299805,7061.299805,742142200
2018-03-21,7061.299805,7065.700195,7016.799805,7039.000000,7039.000000,762202300
2018-03-22,7039.000000,7039.000000,6914.500000,6952.600098,6952.600098,861231600
2018-03-23,6952.600098,6952.799805,6877.000000,6921.899902,6921.899902,879273700
2018-03-26,6921.899902,6958.500000,6866.899902,6888.700195,6888.700195,765318100
2018-03-27,6888.700195,7042.399902,6888.700195,7000.100098,7000.100098,690975500
2018-03-28,7000.100098,7044.700195,6923.299805,7044.700195,7044.700195,763193100
2018-03-29,7044.700195,7109.899902,7042.700195,7056.600098,7056.600098,876227900
2018-04-03,7056.600098,7065.000000,6996.799805,7030.500000,7030.500000,790532700
2018-04-04,7030.500000,7046.299805,6971.799805,7034.000000,7034.000000,794337900
2018-04-05,7034.000000,7199.500000,7034.000000,7199.500000,7199.500000,794899100
2018-04-06,7199.500000,7214.000000,7163.100098,7183.600098,7183.600098,656250500
2018-04-09,7183.600098,7209.700195,7145.600098,7194.799805,7194.799805,671088200
2018-04-10,7194.799805,7266.799805,7194.799805,7266.799805,7266.799805,755081700
2018-04-11,7266.799805,7270.299805,7243.299805,7257.100098,7257.100098,766200800
2018-04-12,7257.100098,7266.600098,7240.799805,7258.299805,7258.299805,666773400
2018-04-13,7258.299805,7275.000000,7249.100098,7264.600098,7264.600098,662868400
2018-04-16,7264.600098,7265.799805,7195.500000,7198.200195,7198.200195,862881700
2018-04-17,7198.200195,7240.399902,7189.899902,7226.100098,7226.100098,714046100
2018-04-18,7226.100098,7325.600098,7226.100098,7317.299805,7317.299805,877056200
2018-04-19,7317.299805,7340.700195,7309.399902,7328.899902,7328.899902,788416300
2018-04-20,7328.899902,7368.200195,7323.299805,7368.200195,7368.200195,769512800
2018-04-23,7368.200195,7404.100098,7359.700195,7398.899902,7398.899902,777571800
2018-04-24,7398.899902,7439.600098,7397.299805,7425.399902,7425.399902,836399400
2018-04-25,7425.399902,7427.100098,7334.600098,7379.299805,7379.299805,879795200
2018-04-26,7379.299805,7421.399902,7355.000000,7421.399902,7421.399902,814899700
